index,V28,V29,V30,V31,V32,V33,spf_id
1053,1,0,0,0,0,0,629535
7880,1,0,0,0,0,0,114895
12765,1,0,0,0,0,0,53197
12226,1,0,0,0,0,0,764094
12838,1,0,0,0,0,0,575797
8644,1,0,0,0,0,0,966188
5316,1,0,0,0,0,0,266314
3679,1,0,0,0,0,0,785504
9560,1,0,0,0,0,0,714926
7850,1,0,0,0,0,0,209468
9412,1,0,0,0,0,0,504707
12452,1,0,0,0,0,0,364738
7867,1,0,0,0,0,0,188443
10557,1,0,0,0,0,0,409616
15612,1,0,0,0,0,0,993161
1191,1,0,0,0,0,0,490669
1163,1,0,0,0,0,0,863648
13361,1,0,0,0,0,0,239588
1697,1,0,0,0,0,0,500286
770,1,0,0,0,0,0,94883
5607,1,0,0,0,0,0,671972
7038,1,0,0,0,0,0,318288
10602,1,0,0,0,0,0,476998
6643,1,0,0,0,0,0,483912
195,1,0,0,0,0,0,78626
3508,1,0,0,0,0,0,905490
1644,1,0,0,0,0,0,948976
15274,1,0,0,0,0,0,907673
14817,1,0,0,0,0,0,700841
10533,1,0,0,0,0,0,181598
12644,1,0,0,0,0,0,677129
3192,1,0,0,0,0,0,731680
7910,1,0,0,0,0,0,822970
11173,1,0,0,0,0,0,723999
6973,1,0,0,0,0,0,821993
267,1,0,0,0,0,0,733268
7838,1,0,0,0,0,0,310218
14073,1,0,0,0,0,0,839783
7286,1,0,0,0,0,0,411012
5713,1,0,0,0,0,0,49443
14064,1,0,0,0,0,0,206872
14890,1,0,0,0,0,0,351509
7386,1,0,0,0,0,0,120754
12862,1,0,0,0,0,0,805847
4137,1,0,0,0,0,0,306731
13480,1,0,0,0,0,0,809360
6117,1,0,0,0,0,0,863293
14982,1,0,0,0,0,0,878823
2853,1,0,0,0,0,0,495915
6268,1,0,0,0,0,0,826755
10928,1,0,0,0,0,0,650057
4413,1,0,0,0,0,0,189156
4080,1,0,0,0,0,0,970680
14572,1,0,0,0,0,0,339433
13818,1,0,0,0,0,0,272733
15453,1,0,0,0,0,0,892959
14798,1,0,0,0,0,0,615206
3088,1,0,0,0,0,0,826190
13510,1,0,0,0,0,0,455270
9602,1,0,0,0,0,0,693003
14105,1,0,0,0,0,0,805165
15450,1,0,0,0,0,0,446970
13801,1,0,0,0,0,0,348995
13369,1,0,0,0,0,0,777025
843,1,0,0,0,0,0,322452
14493,1,0,0,0,0,0,759433
14775,1,0,0,0,0,0,856183
12479,1,0,0,0,0,0,297347
12452,1,0,0,0,0,0,673382
2311,1,0,0,0,0,0,142963
12878,1,0,0,0,0,0,181180
5948,1,0,0,0,0,0,918055
3723,1,0,0,0,0,0,832491
6611,1,0,0,0,0,0,235171
7719,1,0,0,0,0,0,905910
13397,1,0,0,0,0,0,625540
5796,1,0,0,0,0,0,698847
10455,1,0,0,0,0,0,739308
6534,1,0,0,0,0,0,471631
7072,1,0,0,0,0,0,524717
3331,1,0,0,0,0,0,619409
4988,1,0,0,0,0,0,322375
10906,1,0,0,0,0,0,351181
9501,1,0,0,0,0,0,215978
6351,1,0,0,0,0,0,579957
10719,1,0,0,0,0,0,965623
11665,1,0,0,0,0,0,765854
9765,1,0,0,0,0,0,305764
7557,1,0,0,0,0,0,546679
3014,1,0,0,0,0,0,80701
4790,1,0,0,0,0,0,112184
6408,1,0,0,0,0,0,231789
7798,1,0,0,0,0,0,90704
3349,1,0,0,0,0,0,453205
1447,1,0,0,0,0,0,443808
11963,1,0,0,0,0,0,321168
4646,1,0,0,0,0,0,869217
2083,1,0,0,0,0,0,167012
11157,1,0,0,0,0,0,205825
15021,1,0,0,0,0,0,480917
2978,1,0,0,0,0,0,489570
15300,1,0,0,0,0,0,860770
13671,1,0,0,0,0,0,107668
14527,1,0,0,0,0,0,377661
13334,1,0,0,0,0,0,340383
1442,1,0,0,0,0,0,502877
10925,1,0,0,0,0,0,227501
8206,1,0,0,0,0,0,540112
11757,1,0,0,0,0,0,737115
438,1,0,0,0,0,0,820108
5281,1,0,0,0,0,0,280892
5610,1,0,0,0,0,0,215036
7097,1,0,0,0,0,0,740052
5148,1,0,0,0,0,0,425972
9259,1,0,0,0,0,0,256042
4100,1,0,0,0,0,0,492855
15347,1,0,0,0,0,0,363323
26,1,0,0,0,0,0,867320
9713,1,0,0,0,0,0,143058
3515,1,0,0,0,0,0,129411
281,1,0,0,0,0,0,563626
7845,1,0,0,0,0,0,153454
11355,1,0,0,0,0,0,563533
5744,1,0,0,0,0,0,871429
14011,1,0,0,0,0,0,478583
3049,1,0,0,0,0,0,636449
2229,1,0,0,0,0,0,591299
4979,1,0,0,0,0,0,384828
703,1,0,0,0,0,0,965286
1880,1,0,0,0,0,0,464838
14814,1,0,0,0,0,0,929102
2937,1,0,0,0,0,0,825615
13122,1,0,0,0,0,0,595397
6689,1,0,0,0,0,0,253066
12246,1,0,0,0,0,0,72841
11126,1,0,0,0,0,0,86152
10964,1,0,0,0,0,0,966485
12911,1,0,0,0,0,0,147761
7739,1,0,0,0,0,0,966946
6093,1,0,0,0,0,0,387907
2697,1,0,0,0,0,0,19199
14780,1,0,0,0,0,0,932020
15223,1,0,0,0,0,0,127771
6579,1,0,0,0,0,0,739171
2893,1,0,0,0,0,0,10422
10867,1,0,0,0,0,0,670235
9119,1,0,0,0,0,0,622239
1554,1,0,0,0,0,0,7214
8677,1,0,0,0,0,0,277831
8701,1,0,0,0,0,0,446106
11565,1,0,0,0,0,0,295926
7404,1,0,0,0,0,0,996815
10719,1,0,0,0,0,0,152950
13125,1,0,0,0,0,0,152459
8043,1,0,0,0,0,0,405286
1699,1,0,0,0,0,0,756005
10387,1,0,0,0,0,0,807793
2545,1,0,0,0,0,0,245709
789,0,1,0,0,0,0,54937
5857,0,1,0,0,0,0,386718
7456,0,1,0,0,0,0,52228
10574,0,1,0,0,0,0,336738
4078,0,1,0,0,0,0,358337
6849,0,1,0,0,0,0,542686
10679,0,1,0,0,0,0,246414
11746,0,1,0,0,0,0,633768
11950,0,1,0,0,0,0,53435
12478,0,1,0,0,0,0,75199
5475,0,1,0,0,0,0,327274
8276,0,1,0,0,0,0,581686
1852,0,1,0,0,0,0,934372
15211,0,1,0,0,0,0,363551
7055,0,1,0,0,0,0,707779
60,0,1,0,0,0,0,277956
6658,0,1,0,0,0,0,405658
8588,0,1,0,0,0,0,110714
7397,0,1,0,0,0,0,302166
6801,0,1,0,0,0,0,316863
6584,0,1,0,0,0,0,973512
15207,0,1,0,0,0,0,33451
21,0,1,0,0,0,0,973164
4093,0,1,0,0,0,0,611137
8849,0,1,0,0,0,0,254135
5568,0,1,0,0,0,0,339386
325,0,1,0,0,0,0,67738
948,0,1,0,0,0,0,294018
2143,0,1,0,0,0,0,42759
10965,0,1,0,0,0,0,527450
1918,0,1,0,0,0,0,869804
3120,0,1,0,0,0,0,587569
4147,0,1,0,0,0,0,880225
13578,0,1,0,0,0,0,980646
14549,0,1,0,0,0,0,749354
3809,0,1,0,0,0,0,173214
14571,0,1,0,0,0,0,212396
11684,0,1,0,0,0,0,554160
4562,0,1,0,0,0,0,960302
13342,0,1,0,0,0,0,195078
14364,0,1,0,0,0,0,210843
4821,0,1,0,0,0,0,786321
8056,0,1,0,0,0,0,188359
15208,0,1,0,0,0,0,834785
7322,0,1,0,0,0,0,41184
7855,0,1,0,0,0,0,393839
5750,0,1,0,0,0,0,414511
