TicketId,Cabin
5438,C85
8904,C123
3446,E46
103,G6
745,C103
1828,D56
4613,A6
18,C23 C25 C27
529,B78
5359,D33
5330,B30
4105,C52
7181,B28
6707,C83
3884,F33
9780,F G73
5554,C23 C25 C27
7490,E31
3752,A5
9369,D10 D12
757,D26
8981,C110
3666,B58 B60
618,E101
8521,D26
369,F E69
4456,D47
2822,C123
593,B86
3074,F2
2696,C2
456,E33
1751,B19
1250,A7
5763,C49
5390,F4
6990,A32
2659,F2
5842,B4
9417,B80
5769,G6
9502,A31
3526,D36
215,D15
2724,C93
1985,C83
9450,C78
2503,D35
8614,G6
3941,C87
8692,B77
7070,E67
6860,B94
8174,C125
3138,C99
4081,C118
1261,D7
7051,A19
1395,B49
2418,D
9113,C22 C26
347,C106
6967,B58 B60
1956,E101
6509,C22 C26
2764,C65
6232,E36
2856,C54
447,B57 B59 B63 B66
8710,C7
77,E34
7716,C32
1860,D
1709,B18
1598,C124
3021,C91
2864,C2
5698,E40
3132,T
5697,F2
3969,C23 C25 C27
7431,F33
2730,C128
6205,E33
9801,D37
5316,B35
8565,E50
9701,C82
4458,B96 B98
186,D36
1512,G6
5490,C78
3023,E10
2378,C52
8207,E44
7927,B96 B98
6890,C23 C25 C27
1214,A34
5455,C104
5229,C111
4198,C92
8270,E38
6701,D21
3389,E12
640,E63
6082,D
4787,A14
7057,B49
4454,C93
1425,B37
5818,C30
2569,D20
4062,C22 C26
2071,B79
5197,C65
2028,E25
521,D46
5244,F33
9450,B73
354,B18
6553,C95
5292,B38
3690,B39
5299,B22
6331,C86
6502,C70
9157,A16
8652,E67
5098,C101
2647,E25
8042,E44
8038,C68
1462,A10
7993,E68
8648,B41
2127,D20
1034,A20
5466,C125
1582,F4
6504,D19
2794,D50
272,D9
7379,A23
2717,B50
1496,B35
3392,D33
5840,A26
5745,D48
4940,E58
7563,C126
1494,B71
3782,B51 B53 B55
4186,D49
7167,B5
9691,B20
8809,C68
2561,F G63
5895,C62 C64
2442,E24
8368,E24
9177,C90
2310,C124
9127,C126
1217,F G73
45,C45
1225,E101
7750,E8
9563,B5
9978,B101
1886,D45
3330,C46
9818,B57 B59 B63 B66
2604,B22
7639,D30
7189,E121
3460,B77
9896,B96 B98
7569,D11
660,E77
8800,F38
2794,B3
4841,B20
6197,D6
8711,B82 B84
3470,D17
5861,B96 B98
5167,A36
1524,E8
4430,B102
4970,B69
1005,E121
7387,B28
5451,E49
7549,C47
4949,C92
4914,D28
6876,E17
6623,D17
1212,A24
3444,D35
9770,B51 B53 B55
7931,C50
5248,B42
9064,C148
