algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank,top_k
LightGBM,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.781425952911377,1.2641806602478027,,0.68,3.517245292663574,"{'credit/table_0_0.csv.Key_0_0': 2.2204460492503132e-17, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_1_2.csv.existing_credits': 0.0, 'credit/table_1_1.csv.housing': 0.0, 'credit/table_1_1.csv.job': 0.0, 'credit/table_0_0.csv.residence_since': -0.0010000000000000009, 'credit/table_1_2.csv.own_telephone': -0.0020000000000000018, 'credit/table_1_2.csv.other_payment_plans': -0.003999999999999981, 'credit/table_1_1.csv.other_parties': -0.0040000000000000036, 'credit/table_0_0.csv.employment': -0.005999999999999961}","['credit/table_1_1.csv.other_parties', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job']",0.65,,1.3068511159805154,15
RandomForest,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.781425952911377,1.2641806602478027,,0.645,3.517245292663574,"{'credit/table_0_0.csv.residence_since': 0.026000000000000023, 'credit/table_0_0.csv.Key_0_0': 0.02100000000000002, 'credit/table_1_1.csv.housing': 0.013000000000000012, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_1_2.csv.other_payment_plans': -0.006000000000000005, 'credit/table_1_1.csv.other_parties': -0.008000000000000007, 'credit/table_1_2.csv.own_telephone': -0.010000000000000009, 'credit/table_1_1.csv.job': -0.01100000000000001, 'credit/table_0_0.csv.employment': -0.014000000000000012, 'credit/table_1_2.csv.existing_credits': -0.027000000000000003}","['credit/table_1_1.csv.other_parties', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job']",0.65,,1.3068511159805154,15
ExtraTrees,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.781425952911377,1.2641806602478027,,0.63,3.517245292663574,"{'credit/table_0_0.csv.residence_since': 0.008000000000000007, 'credit/table_1_1.csv.other_parties': 0.0020000000000000018, 'credit/table_1_1.csv.housing': -0.0020000000000000018, 'credit/table_1_2.csv.other_payment_plans': -0.010000000000000009, 'credit/table_1_1.csv.job': -0.010000000000000009, 'credit/table_0_0.csv.Key_0_0': -0.01100000000000001, 'credit/table_0_0.csv.num_dependents': -0.01200000000000001, 'credit/table_1_2.csv.own_telephone': -0.013000000000000012, 'credit/table_0_0.csv.employment': -0.018000000000000016, 'credit/table_1_2.csv.existing_credits': -0.022}","['credit/table_1_1.csv.other_parties', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job']",0.65,,1.3068511159805154,15
XGBoost,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.781425952911377,1.2641806602478027,,0.675,3.517245292663574,"{'credit/table_1_1.csv.housing': 0.03500000000000003, 'credit/table_0_0.csv.residence_since': 0.028000000000000025, 'credit/table_0_0.csv.employment': 0.020000000000000018, 'credit/table_0_0.csv.Key_0_0': 0.010000000000000009, 'credit/table_0_0.csv.num_dependents': 0.007000000000000006, 'credit/table_1_2.csv.other_payment_plans': 0.0030000000000000027, 'credit/table_1_2.csv.existing_credits': 4.4408920985006264e-17, 'credit/table_1_1.csv.other_parties': -0.0020000000000000018, 'credit/table_1_2.csv.own_telephone': -0.0030000000000000027, 'credit/table_1_1.csv.job': -0.004999999999999982}","['credit/table_1_1.csv.other_parties', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job']",0.65,,1.3068511159805154,15
LightGBM,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_4.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_3.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.57915735244751,1.2641806602478027,,0.69,3.314976692199707,"{'credit/table_2_3.csv.installment_commitment': 0.0, 'credit/table_2_4.csv.age': 0.0, 'credit/table_1_1.csv.other_parties': 0.0, 'credit/table_2_3.csv.foreign_worker': 0.0, 'credit/table_1_2.csv.other_payment_plans': 0.0, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_0_0.csv.employment': 0.0, 'credit/table_2_3.csv.property_magnitude': 0.0, 'credit/table_2_4.csv.credit_history': 0.0, 'credit/table_1_2.csv.existing_credits': 0.0, 'credit/table_0_0.csv.residence_since': 0.0, 'credit/table_0_0.csv.Key_0_0': 0.0, 'credit/table_1_1.csv.housing': 0.0, 'credit/table_1_2.csv.own_telephone': 0.0, 'credit/table_1_1.csv.job': 0.0, 'credit/table_2_4.csv.personal_status': 0.0}","['credit/table_2_3.csv.installment_commitment', 'credit/table_2_4.csv.age', 'credit/table_1_1.csv.other_parties', 'credit/table_2_3.csv.foreign_worker', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_2_3.csv.property_magnitude', 'credit/table_2_4.csv.credit_history', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job', 'credit/table_2_4.csv.personal_status']",0.65,,1.2797500846009877,15
RandomForest,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_4.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_3.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.57915735244751,1.2641806602478027,,0.69,3.314976692199707,"{'credit/table_1_2.csv.own_telephone': 0.007999999999999919, 'credit/table_2_3.csv.foreign_worker': 0.004999999999999893, 'credit/table_2_4.csv.credit_history': 0.003999999999999937, 'credit/table_0_0.csv.Key_0_0': 0.003999999999999937, 'credit/table_2_3.csv.property_magnitude': 0.0029999999999999584, 'credit/table_1_2.csv.existing_credits': 0.002999999999999936, 'credit/table_0_0.csv.employment': 0.0019999999999999575, 'credit/table_0_0.csv.residence_since': 0.001999999999999935, 'credit/table_1_1.csv.housing': 0.0009999999999999564, 'credit/table_0_0.csv.num_dependents': -0.001000000000000023, 'credit/table_1_1.csv.other_parties': -0.0020000000000000018, 'credit/table_2_3.csv.installment_commitment': -0.0030000000000000248, 'credit/table_1_1.csv.job': -0.0050000000000000044, 'credit/table_2_4.csv.personal_status': -0.007000000000000029, 'credit/table_2_4.csv.age': -0.009000000000000053, 'credit/table_1_2.csv.other_payment_plans': -0.01100000000000001}","['credit/table_2_3.csv.installment_commitment', 'credit/table_2_4.csv.age', 'credit/table_1_1.csv.other_parties', 'credit/table_2_3.csv.foreign_worker', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_2_3.csv.property_magnitude', 'credit/table_2_4.csv.credit_history', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job', 'credit/table_2_4.csv.personal_status']",0.65,,1.2797500846009877,15
ExtraTrees,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_4.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_3.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.57915735244751,1.2641806602478027,,0.69,3.314976692199707,"{'credit/table_2_4.csv.credit_history': 0.014999999999999902, 'credit/table_0_0.csv.Key_0_0': 0.00999999999999992, 'credit/table_1_2.csv.own_telephone': 0.005999999999999961, 'credit/table_2_3.csv.foreign_worker': 0.004999999999999893, 'credit/table_0_0.csv.residence_since': 0.003999999999999959, 'credit/table_0_0.csv.num_dependents': 0.003999999999999937, 'credit/table_1_2.csv.other_payment_plans': -0.001000000000000023, 'credit/table_2_4.csv.age': -0.0010000000000000453, 'credit/table_2_4.csv.personal_status': -0.0010000000000000453, 'credit/table_1_1.csv.job': -0.0040000000000000036, 'credit/table_2_3.csv.property_magnitude': -0.004000000000000048, 'credit/table_1_1.csv.other_parties': -0.006000000000000005, 'credit/table_1_1.csv.housing': -0.008000000000000007, 'credit/table_2_3.csv.installment_commitment': -0.010000000000000031, 'credit/table_1_2.csv.existing_credits': -0.01200000000000001, 'credit/table_0_0.csv.employment': -0.015000000000000013}","['credit/table_2_3.csv.installment_commitment', 'credit/table_2_4.csv.age', 'credit/table_1_1.csv.other_parties', 'credit/table_2_3.csv.foreign_worker', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_2_3.csv.property_magnitude', 'credit/table_2_4.csv.credit_history', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job', 'credit/table_2_4.csv.personal_status']",0.65,,1.2797500846009877,15
XGBoost,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_4.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv', 'Key_1_1', 'Key_1_1', 'credit/table_2_3.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv'], ['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_2.csv']]",TFD_BFS,credit,,4.57915735244751,1.2641806602478027,,0.685,3.314976692199707,"{'credit/table_2_4.csv.credit_history': 0.051000000000000045, 'credit/table_2_4.csv.age': 0.04600000000000004, 'credit/table_2_3.csv.property_magnitude': 0.04500000000000004, 'credit/table_2_4.csv.personal_status': 0.013000000000000012, 'credit/table_0_0.csv.Key_0_0': 0.00900000000000003, 'credit/table_1_1.csv.job': 0.008000000000000007, 'credit/table_1_2.csv.other_payment_plans': 0.0060000000000000496, 'credit/table_1_1.csv.other_parties': 2.2204460492503132e-17, 'credit/table_2_3.csv.foreign_worker': 0.0, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_1_2.csv.existing_credits': 0.0, 'credit/table_0_0.csv.residence_since': 0.0, 'credit/table_1_1.csv.housing': 0.0, 'credit/table_1_2.csv.own_telephone': 0.0, 'credit/table_2_3.csv.installment_commitment': -0.004999999999999938, 'credit/table_0_0.csv.employment': -0.00499999999999996}","['credit/table_2_3.csv.installment_commitment', 'credit/table_2_4.csv.age', 'credit/table_1_1.csv.other_parties', 'credit/table_2_3.csv.foreign_worker', 'credit/table_1_2.csv.other_payment_plans', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_2_3.csv.property_magnitude', 'credit/table_2_4.csv.credit_history', 'credit/table_1_2.csv.existing_credits', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_2.csv.own_telephone', 'credit/table_1_1.csv.job', 'credit/table_2_4.csv.personal_status']",0.65,,1.2797500846009877,15
LightGBM,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv']]",TFD_BFS,credit,,4.500535249710083,1.2641806602478027,,0.69,3.2363545894622803,"{'credit/table_1_1.csv.other_parties': 0.0, 'credit/table_0_0.csv.num_dependents': 0.0, 'credit/table_0_0.csv.employment': 0.0, 'credit/table_0_0.csv.residence_since': 0.0, 'credit/table_0_0.csv.Key_0_0': 0.0, 'credit/table_1_1.csv.housing': 0.0, 'credit/table_1_1.csv.job': 0.0}","['credit/table_1_1.csv.other_parties', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_1.csv.job']",0.65,,1.2507670113988179,15
RandomForest,"[['credit/table_0_0.csv', 'Key_0_0', 'Key_0_0', 'credit/table_1_1.csv']]",TFD_BFS,credit,,4.500535249710083,1.2641806602478027,,0.65,3.2363545894622803,"{'credit/table_0_0.csv.residence_since': 0.03600000000000003, 'credit/table_0_0.csv.employment': 0.026000000000000023, 'credit/table_1_1.csv.housing': 0.02100000000000002, 'credit/table_1_1.csv.job': 0.02100000000000002, 'credit/table_0_0.csv.Key_0_0': 0.01200000000000001, 'credit/table_1_1.csv.other_parties': 0.0010000000000000009, 'credit/table_0_0.csv.num_dependents': -0.014000000000000012}","['credit/table_1_1.csv.other_parties', 'credit/table_0_0.csv.num_dependents', 'credit/table_0_0.csv.employment', 'credit/table_0_0.csv.residence_since', 'credit/table_0_0.csv.Key_0_0', 'credit/table_1_1.csv.housing', 'credit/table_1_1.csv.job']",0.65,,1.2507670113988179,15
